,Institution UKPRN code,Institution name,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Output type,Title,Place,Publisher,Volume title,Volume,Issue,First page,Article number,ISBN,ISSN,DOI,Patent number,Month,Year,URL,Number of additional authors,Non-English,Interdisciplinary,Forensic science,Criminology,Propose double weighting,Is reserve output,Research group,Open access status,Citations applicable,Citation count,Cross-referral requested,Supplementary information,Delayed by COVID19,REF2ID,Incl sig material before 2014,Incl reseach process,Incl factual info about significance
68108,10007149,The University of Hull,B,11,Computer Science and Informatics,,,,D,Flight trial demonstration of seamless aeronautical networking,,,IEEE Communications Magazine,52,5,119,,,0163-6804,10.1109/MCOM.2014.6815902,,May,2014.0,https://ieeexplore.ieee.org/document/6815902/,14.0,,,,,,,,Out of scope for open access requirements,Yes,4.0,,,,19bd3423-4f61-4b6a-b6f1-0112742f2287,0,0,1
68140,10005500,Robert Gordon University,B,11,Computer Science and Informatics,,,,D,Flood risk management in sponge cities: The role of integrated simulation and 3D visualization,,,International Journal of Disaster Risk Reduction,39,,101139,101139,,2212-4209,10.1016/j.ijdrr.2019.101139,Compliant,April,2019.0,,,,,,,,,,Compliant,Yes,11.0,,,,747fd16c-3642-49a2-ade7-a07989b6d64e,0,0,1
68205,10001282,University of Northumbria at Newcastle,B,11,Computer Science and Informatics,,,,D,Flow-Aware Elephant Flow Detection for Software-Defined Networks,,,IEEE Access,8,,72585,9066961,,2169-3536,10.1109/ACCESS.2020.2987977,,April,2020.0,,7.0,,,,,,,A - Digital Health and Wellbeing (DH&W),Compliant,Yes,3.0,,,,b227be1e-9613-4f62-ab2e-65a5f8fce46b,0,0,1
68223,10005553,Royal Holloway and Bedford New College,B,11,Computer Science and Informatics,,,,E,FlowWatcher : Defending against Data Disclosure Vulnerabilities in Web Applications,,,CCS '15 : Proceedings of the 22nd ACM SIGSAC Conference on Computer and Communications Security,,,603,,,,10.1145/2810103.2813639,,October,2015.0,,5.0,,,,,,,,,Yes,9.0,,,,9233db48-de8f-446b-86a5-2e6f237697b3,0,0,1
68268,10002718,Goldsmiths' College,B,11,Computer Science and Informatics,,,,D,Fluid gesture interaction design: applications of continuous recognition for the design of modern gestural interfaces,,,ACM Transactions on Interactive Intelligent Systems,3,4,,22,,2160-6455,10.1145/2543921,,January,2014.0,http://research.gold.ac.uk/id/eprint/9619/,3.0,,,,,,,,Out of scope for open access requirements,Yes,9.0,,,,dd250169-852a-49f7-aa4a-4697cd2abb89,0,0,1
68351,10007155,University of Portsmouth,B,11,Computer Science and Informatics,,,,D,FN-TOPSIS: fuzzy networks for ranking traded equities,,,IEEE Transactions on Fuzzy Systems,25,2,315,,,1063-6706,10.1109/TFUZZ.2016.2555999,,April,2016.0,,2.0,,,,,,,B - Computational Intelligence,Out of scope for open access requirements,Yes,23.0,,,,543a5eba-c52e-4894-8f97-4cd3a7e07a91,0,0,1
68353,10007157,The University of Sheffield,B,11,Computer Science and Informatics,,,,E,FO Model Checking on Posets of Bounded Width,,,2015 IEEE 56th Annual Symposium on Foundations of Computer Science,-,-,963,,,0272-5428,10.1109/focs.2015.63,,October,2015.0,,6.0,,,,,,,A - Algorithms,Out of scope for open access requirements,Yes,8.0,,,,e9bfd7b3-1750-4314-b2fd-a47de19ef6e2,0,0,1
68354,10007163,The University of Warwick,B,11,Computer Science and Informatics,,,,E,FO model checking on posets of bounded width,"Berkeley, CA, USA",IEEE Computer Society,"IEEE 56th Annual Symposium on Foundations of Computer Science, FOCS 2015, Berkeley, CA, USA, 17-20 October, 2015",,,963,,9781467381918,0272-5428,10.1109/FOCS.2015.63,,December,2015.0,,6.0,,,,,,,T - Theory and Foundations,Out of scope for open access requirements,Yes,8.0,,,,bf413d45-20b0-4699-a29c-f96905267c80,0,0,1
68376,10007788,University of Cambridge,B,11,Computer Science and Informatics,,,,E,Focused quantization for sparse CNNs,,,Advances in Neural Information Processing Systems,32,,5585,,,1049-5258,,,January,2019.0,,4.0,,,,,,,,Compliant,Yes,0.0,,,,897caa42-30d5-4236-89df-4c21dad94267,0,0,1
68377,10007807,University of Ulster,B,11,Computer Science and Informatics,,,,D,Focused random walk with probability distribution for SAT with long clauses,,,Applied Intelligence,50,,4732,,,0924-669X,10.1007/s10489-020-01768-3,,August,2020.0,,2.0,,,,,,,B - Artificial Intelligence Research Centre,Compliant,Yes,1.0,,,,eb0099db-6cdc-42ba-b61a-4a5ff966c58a,0,0,1
68603,10007790,University of Edinburgh,B,11,Computer Science and Informatics,,,,D,For Whom the Bell Trolls: Shifting Troll Behaviour in the Twitter Brexit Debate,,,JCMS: Journal of Common Market Studies,57,5,1148,,,0021-9886,10.1111/jcms.12882,,June,2019.0,,3.0,,Yes,,,,,"D - Language, Interaction and Robotics",Compliant,Yes,4.0,,,,fc1bb64d-bcaf-49b3-8d5a-86e1a4c53748,0,0,1
68627,10007791,The University of Essex,B,11,Computer Science and Informatics,,,,D,FORCe: Fully Online and Automated Artifact Removal for Brain-Computer Interfacing.,,,IEEE Transactions on Neural Systems and Rehabilitation Engineering,23,5,725,,,1534-4320,10.1109/tnsre.2014.2346621,,August,2014.0,,3.0,,Yes,,,,,B - Brain Computer Interfaces and Neural Engineering (BCI-NE),Out of scope for open access requirements,Yes,68.0,,,,906c8c1e-7696-4883-b315-a5f9a161405e,0,0,1
68846,10007773,The Open University,B,11,Computer Science and Informatics,,,,D,FORGE Toolkit: Leveraging Distributed Systems in eLearning Platforms,,,IEEE Transactions on Emerging Topics in Computing,5,1,7,,,2168-6750,10.1109/TETC.2015.2511454,,December,2015.0,,10.0,,,,,,,,Out of scope for open access requirements,Yes,5.0,,,,5ffaa8a7-c883-4edf-a74e-7478fadb4f22,0,0,1
68851,10007805,University of Strathclyde,B,11,Computer Science and Informatics,,,,E,ForgetMeNot : active reminder entry support for adults with acquired brain injury,,,CHI '17 : Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems,,,6012,,,,10.1145/3025453.3025888,,May,2017.0,,5.0,,,,,,,,,Yes,6.0,,,,31104f7d-b6b1-40e7-976d-38c051cb404a,0,0,1
68852,10007775,Queen Mary University of London,B,11,Computer Science and Informatics,,,,E,ForgetMeNot: Memory-Aware Forensic Facial Sketch Matching,,,2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),,,5571,,,,10.1109/CVPR.2016.601,,December,2016.0,,,,,,,,,,,Yes,19.0,,,,60538c3a-3efd-40d7-a4a9-7b7a98c8859d,0,0,1
68854,10007798,The University of Manchester,B,11,Computer Science and Informatics,,,,E,"Forgetting Concept and Role Symbols in ALCOIHμ+(∇,Π)-Ontologies",,,Proceedings of the Twenty-Fifth International Joint Conference on Artificial Intelligence,,,1345,,,,,,July,2016.0,,1.0,,,,,,,A - Computer Science,,Yes,,,,,28d6615b-0dff-4c34-87a0-b6b01f7914de,0,0,1
68900,10007160,The University of Surrey,B,11,Computer Science and Informatics,,,,E,Formal Analysis and Implementation of a TPM 2.0-based Direct Anonymous Attestation Scheme,,,Proceedings of the 15th ACM Asia Conference on Computer and Communications Security,,,784,,,,10.1145/3320269.3372197,,,2020.0,,,,,,,,,,,Yes,,,,,30a7699a-ab6d-48a0-ac62-a01a317ca3e5,0,0,1
68909,10007792,University of Exeter,B,11,Computer Science and Informatics,,,,D,Formal firewall conformance testing: an application of test and proof techniques,,,"Software Testing, Verification & Reliability (STVR)",25,1,34,,,0960-0833,10.1002/stvr.1544,,August,2014.0,,2.0,,,,,,,,Out of scope for open access requirements,Yes,9.0,,,,3e1ef0c3-0526-4f1f-9a8b-9af46546febd,0,0,1
68914,10005553,Royal Holloway and Bedford New College,B,11,Computer Science and Informatics,,,,A,Formal Semantics in Modern Type Theories,,ISTE Ltd,,,,,,9781786301284,,,,December,2020.0,,1.0,,,,,,,,,Yes,,,,,b0f565fa-40b6-4706-9e0f-f0d30bf01817,0,0,1
68916,10007799,University of Newcastle upon Tyne,B,11,Computer Science and Informatics,,,,D,Formal Techniques in the Safety Analysis of Software Components of a new Dialysis Machine,,,Science of Computer Programming,175,,17,,,0167-6423,10.1016/j.scico.2019.02.003,,February,2019.0,https://doi.org/10.1016/j.scico.2019.02.003,6.0,,Yes,,,,,A - Advanced Model-Based Engineering and Reasoning (AMBER),Compliant,Yes,7.0,,,,0e7982c4-e0d2-460e-b07a-0aef498aef24,0,0,1
68918,10007798,The University of Manchester,B,11,Computer Science and Informatics,,,,D,Formal Verification of an Executable LTL Model Checker with Partial Order Reduction,,,Journal of Automated Reasoning,60,1,3,,,0168-7433,10.1007/s10817-017-9418-4,,June,2017.0,,1.0,,,,,,,A - Computer Science,Deposit exception,Yes,4.0,,,,22525a98-2cb4-46b0-b62a-e4964dedcf0d,0,0,1
68919,10007848,University of Chester,B,11,Computer Science and Informatics,,,,E,Formal Verification of Astronaut-Rover Teams for Planetary Surface Operations,,,2020 IEEE Aerospace Conference,,,1,,,,10.1109/AERO47225.2020.9172303,,August,2020.0,,,,,,,,,,,Yes,,,,,2805f7f9-166c-4fb4-9174-57d4d69108eb,0,0,1
68920,10007798,The University of Manchester,B,11,Computer Science and Informatics,,,,D,Formal verification of autonomous vehicle platooning,,,Science of Computer Programming,148,,88,,,0167-6423,10.1016/j.scico.2017.05.006,,June,2017.0,,4.0,,,,,,,A - Computer Science,Compliant,Yes,34.0,,,,8e5462e0-123c-4dda-b230-3a315758c595,0,0,1
68921,10007798,The University of Manchester,B,11,Computer Science and Informatics,,,,D,Formal verification of ethical choices in autonomous systems,,,Robotics and Autonomous Systems,77,,1,,,0921-8890,10.1016/j.robot.2015.11.012,,March,2016.0,,3.0,,,,,,,A - Computer Science,Out of scope for open access requirements,Yes,46.0,,,,e472d02a-3dc6-4b21-b161-cf9f5d467c0e,0,0,1
68922,10003956,Liverpool Hope University,B,11,Computer Science and Informatics,,,,D,Formal verification of secure information flow in cloud computing,,,Journal of Information Security and Applications,27-28,,103,,,2214-2126,10.1016/j.jisa.2016.03.002,,May,2016.0,,3.0,,,,,,,I - Intelligent and Distributed Systems (IDS),Compliant,Yes,11.0,,,,9bd5df8d-bd74-4240-86a0-b59083c8579d,0,0,1
68923,10001883,De Montfort University,B,11,Computer Science and Informatics,,,,D,Formal verification of secure information flow in cloud computing,,Elsevier BV,Journal of Information Security and Applications,27-28,,103,,,2214-2126,10.1016/j.jisa.2016.03.002,,,2016.0,,,,,,,,,,Technical exception,Yes,11.0,,,,2109d930-02da-44ab-b54d-bc8dc6b17789,0,0,1
68924,10007768,The University of Lancaster,B,11,Computer Science and Informatics,,,,E,Formal Verification of Usage Control Models : A Case Study of UseCON Using TLA+,,,Proceedings of the 1st International Workshop on Methods and Tools for Rigorous System Design (MeTRiD 2018),272,,52,,,2075-2180,10.4204/EPTCS.272.5,,April,2018.0,https://arxiv.org/abs/1806.09848v1,2.0,,,,,,,I - Security,Compliant,Yes,6.0,,,,a17e80e6-e1e0-4c4b-8a52-17cda77a8d48,0,0,1
68925,10007167,University of York,B,11,Computer Science and Informatics,,,,D,Formal Verification with Confidence Intervals to Establish Quality of Service Properties of Software Systems,,,IEEE Transactions on Reliability,65,1,107,,,0018-9529,10.1109/TR.2015.2452931,,August,2015.0,,5.0,,,,,,,,Out of scope for open access requirements,Yes,19.0,,,,2128c519-ac24-433a-9322-33ec5cce0153,0,0,1
69070,10000961,Brunel University London,B,11,Computer Science and Informatics,,,,D,Forward and Backhaul Link Optimization for Energy Efficient OFDMA Small Cell Networks,,,Ieee Transactions On Wireless Communications,16,2,1080,,,1536-1276,10.1109/TWC.2016.2636821,,February,2017.0,,3.0,,,,,,,"2 - Software, Systems & Security (SSS)",Technical exception,Yes,6.0,,,,96b65403-697b-45c5-9fa9-fe8d15729969,0,0,1
69082,10007798,The University of Manchester,B,11,Computer Science and Informatics,,,,D,FOS: A Modular FPGA Operating System for Dynamic Workloads,,,ACM Transactions on Reconfigurable Technology and Systems,13,4,,20,,1936-7406,10.1145/3405794,,October,2020.0,,3.0,,,,,,,A - Computer Science,Exception within 3 months of publication,Yes,0.0,,,,1e8c2c1e-5285-4e55-9390-bc761b132c17,0,0,1
69148,10007157,The University of Sheffield,B,11,Computer Science and Informatics,,,,E,Foundational extensible corecursion: a proof assistant perspective,,,ICFP 2015: Proceedings of the 20th ACM SIGPLAN International Conference on Functional Programming,,,192,,,,10.1145/2784731.2784732,,August,2015.0,,2.0,,,,,,,F - Security of Advanced Systems,,Yes,10.0,,,,21ea03bf-5967-429c-b6e7-646846e94cb2,0,0,1
69149,10004351,Middlesex University,B,11,Computer Science and Informatics,,,,E,Foundational extensible corecursion: a proof assistant perspective,,,Proceedings of the 20th ACM SIGPLAN International Conference on Functional Programming,,,192,,,,10.1145/2784731.2784732,,August,2015.0,http://eprints.mdx.ac.uk/15735/,2.0,,,,,,,,,Yes,10.0,,,,bda63eab-4bd0-44ef-9e14-dacec3c794e4,0,0,1
69154,10007155,University of Portsmouth,B,11,Computer Science and Informatics,,,,D,Foundations for using linear temporal logic in Event-B refinement,,,Formal Aspects of Computing,28,6,909,,,0934-5043,10.1007/s00165-016-0376-0,,April,2016.0,,3.0,,,,,,,C - Cyber Security,Out of scope for open access requirements,Yes,3.0,,,,a1de1bf9-edcc-4248-816e-8fd59fee2ab0,0,0,1
69155,10007774,University of Oxford,B,11,Computer Science and Informatics,,,,E,Foundations of Declarative Data Analysis Using Limit Datalog Programs.,,,CoRR,abs/1705.06927,,1123,,,1045-0823,10.24963/ijcai.2017/156,,August,2017.0,,4.0,,,,,,,,Compliant,Yes,,,,,e298b9bb-daed-4f2d-9671-af7336150be0,0,0,1
69157,10007164,"University of the West of England, Bristol",B,11,Computer Science and Informatics,,,,E,Foundations of fully dynamic group signatures,,,Applied Cryptography and Network Security – ACNS 2016,9696,,117,,,,10.1007/978-3-319-39555-5_7,,June,2016.0,http://dx.doi.org/10.1007/978-3-319-39555-5_7,4.0,,,,,,,,,Yes,26.0,,,,84b9aca3-41bf-42f5-bc61-cad183ec9fed,0,0,1
69158,10007786,University of Bristol,B,11,Computer Science and Informatics,,,,E,Foundations of Hardware-Based Attested Computation and Application to SGX,,,"2016 IEEE European Symposium on Security and Privacy (EuroS&P 2016) : Proceedings of a meeting held 21-24 March 2016, Saarbrucken, Germany",,,245,,,,10.1109/EuroSP.2016.28,,May,2016.0,,3.0,,,,,,,B - Cybersecurity and Cryptography,,Yes,12.0,,,,6ca3d47e-6024-4ad0-8c07-c7411a942cf4,0,0,1
69160,10007774,University of Oxford,B,11,Computer Science and Informatics,,,,D,Foundations of Ontology-Based Data Access under Bag  Semantics,,,Artificial Intelligence,274,,91,,,1872-7921,10.1016/j.artint.2019.02.003,,February,2019.0,,5.0,,,,,,,,Compliant,Yes,4.0,,,,6377d1df-4d77-462d-9c88-f67c8654a2aa,0,0,1
69161,10007158,University of Southampton,B,11,Computer Science and Informatics,,,,D,Foundations of ontology-based data access under bag semantics,,,Artificial Intelligence,274,,91,,,0004-3702,10.1016/j.artint.2019.02.003,,February,2019.0,,5.0,,,,,,,,Compliant,Yes,4.0,,,,448bebb7-5e56-498a-98ed-a6b79ce75f12,0,0,1
69206,10007774,University of Oxford,B,11,Computer Science and Informatics,,,,D,Fourier spectral methods for fractional-in-space reaction-diffusion equations,,,BIT NUMERICAL MATHEMATICS,54,4,937,,,0006-3835,10.1007/s10543-014-0484-2,,April,2014.0,,2.0,,Yes,,,,,,Out of scope for open access requirements,Yes,168.0,,,,ed4c0839-970a-416c-be26-033c89ad8029,0,0,1
69219,10007163,The University of Warwick,B,11,Computer Science and Informatics,,,,D,Four-point conditions for the TSP : the complete complexity classification,,Elsevier Science BV,Discrete Optimization,14,,147,,,1572-5286,10.1016/j.disopt.2014.09.003,,November,2014.0,,3.0,,,,,,,T - Theory and Foundations,Out of scope for open access requirements,Yes,7.0,,,,feb1c7ac-99e8-407b-9067-f9cdb11cd84d,0,0,1
69230,10000961,Brunel University London,B,11,Computer Science and Informatics,,,,D,Foveated Real-Time Ray Tracing for Head-Mounted Displays,,,Computer Graphics Forum,35,7,289,,,0167-7055,10.1111/cgf.13026,,October,2016.0,http://bura.brunel.ac.uk/handle/2438/13933,6.0,,,,,,,1 - Artificial Intelligence (AI),Compliant,Yes,16.0,,,,444b9fc6-54df-4053-a46d-7c8587383700,0,0,1
69248,10001883,De Montfort University,B,11,Computer Science and Informatics,,,,D,FPGA Implementation of Orthogonal Matching Pursuit for Compressive Sensing Reconstruction,,,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,23,10,2209,,,1063-8210,10.1109/TVLSI.2014.2358716,,,2014.0,,,,,,,,,,Out of scope for open access requirements,Yes,52.0,,,,afa2ce70-1705-4b75-b97b-bb0daa0edda5,0,0,1
69249,10006840,The University of Birmingham,B,11,Computer Science and Informatics,,,,E,FPGA-based high-performance parallel architecture for homomorphic computing on encrypted data,,,2019 IEEE International Symposium on High Performance Computer Architecture (HPCA),,,387,,,1530-0897,10.1109/HPCA.2019.00052,,March,2019.0,,4.0,,,,,,,,Exception within 3 months of publication,Yes,10.0,,,,5c354809-d885-4eb7-a3aa-76491fb48b4b,0,0,1
69252,10007798,The University of Manchester,B,11,Computer Science and Informatics,,,,D,FPGADefender: Malicious Self-Oscillator Scanning for Xilinx UltraScale+ FPGAs,,,ACM Transactions on Reconfigurable Technology and Systems,13,3,,3402937,,1936-7406,10.1145/3402937,,September,2020.0,,4.0,,,,,,,A - Computer Science,Exception within 3 months of publication,Yes,0.0,,,,7e1781ae-e6e0-4d35-b22f-ea36bf9a45d9,0,0,1
69275,10007760,Birkbeck College,B,11,Computer Science and Informatics,,,,E,Fractional covers of Hypergraphs with bounded multi-intersection,"Prague, Czech Republic",,45th International Symposium on Mathematical Foundations of Computer Science (MFCS 2020),,,1,,,,10.4230/LIPIcs.MFCS.2020.41,,August,2020.0,https://drops.dagstuhl.de/opus/volltexte/2020/12731/,3.0,,,,,,,"1 - Algorithms, Verification and Software",,Yes,,,,,e8a68d16-bbd2-419e-ab78-e3b18e8ea6ab,0,0,1
69278,10007774,University of Oxford,B,11,Computer Science and Informatics,,,,D,Fractional diffusion models of cardiac electrical propagation: role of structural heterogeneity in dispersion of repolarization.,,,"Journal of the Royal Society, Interface",11,97,20140352,ARTN 20140352,,1742-5689,10.1098/rsif.2014.0352,,August,2014.0,,4.0,,Yes,,,,,,Out of scope for open access requirements,Yes,106.0,,,,8079ddb5-b653-48e6-bd89-a164a2cd31af,0,0,1
69293,10007791,The University of Essex,B,11,Computer Science and Informatics,,,,D,Fractional-Delay-Resilient Receiver Design for Interference-Free MC-CDMA Communications Based on Complete Complementary Codes,,,IEEE Transactions on Wireless Communications,14,3,1226,,,1536-1276,10.1109/twc.2014.2365467,,March,2015.0,,2.0,,,,,,,C - Communications and Networking (Comms),Out of scope for open access requirements,Yes,36.0,,,,8eafc87c-b455-4414-bd79-b0a414fad06a,0,0,1
69332,10007140,Birmingham City University,B,11,Computer Science and Informatics,,,,E,Fragmenta: A theory of fragmentation for MDE,,,International Conference on Model Driven Engineering Languages and Systems,,,106,,,,10.1109/MODELS.2015.7338241,,,2015.0,https://ieeexplore.ieee.org/document/7338241,,,,,,,,,,Yes,9.0,,,,d7acc927-a72a-4a6f-9f59-6f2483e371c8,0,0,1
69363,10007164,"University of the West of England, Bristol",B,11,Computer Science and Informatics,,,,D,Frame rate vs resolution: A subjective evaluation of spatiotemporal perceived quality under varying computational budgets,,,Computer Graphics Forum,37,1,363,,,0167-7055,10.1111/cgf.13302,,September,2017.0,http://dx.doi.org/10.1111/cgf.13302,4.0,,,,,,,,Compliant,Yes,6.0,,,,4dcd91ac-93f0-45ef-a08e-5d4a5a81d2c6,0,0,1
69364,10000824,Bournemouth University,B,11,Computer Science and Informatics,,,,D,Frame rate vs Resolution: a subjective evaluation of spatio-temporal perceived quality under varying computational budgets,,,Computer Graphics Forum,37,1,363,0,,0167-7055,10.1111/cgf.13302,,September,2017.0,,,,,,,,,,Compliant,Yes,6.0,,,,739d8519-bd04-4df5-99dc-23265814179c,0,0,0
69366,10003645,King's College London,B,11,Computer Science and Informatics,,,,D,Frame-Based Editing,,,Journal of Visual Languages and Sentient Systems,3,,40,,,2575-3916,,,June,2017.0,http://www.ksiresearch.org/vlss/journal/VLSS2017/vlss-2017-kolling-brown-altadmri.pdf,2.0,,,,,,,,Compliant,Yes,,,,,9c7226fd-704d-4739-882e-14360f79d432,0,0,1
69384,10007798,The University of Manchester,B,11,Computer Science and Informatics,,,,D,Framework of Group Decision Making With Intuitionistic Fuzzy Preference Information,,,I E E E Transactions on Fuzzy Systems,23,4,1211,,,1063-6706,10.1109/TFUZZ.2014.2348013,,August,2014.0,,3.0,,,,,,,A - Computer Science,Out of scope for open access requirements,Yes,83.0,,,,b2d24ca5-f079-4ba8-8ac9-e730d32a3103,0,0,1
69474,10007790,University of Edinburgh,B,11,Computer Science and Informatics,,,,D,Frankenstein: Learning Deep Face Representations using Small Data,,,IEEE Transactions on Image Processing,27,1,293,,,1057-7149,10.1109/TIP.2017.2756450,,September,2017.0,,4.0,,,,,,,"D - Language, Interaction and Robotics",Compliant,Yes,42.0,,,,45d03554-e770-47a3-8697-307bbc7d5d6f,0,0,1
69496,10007772,Edinburgh Napier University,B,11,Computer Science and Informatics,,,,D,FRCA: A Novel Flexible Routing Computing Approach for Wireless Sensor Networks,,,IEEE Transactions on Mobile Computing,19,11,2623,,,1536-1233,10.1109/TMC.2019.2928805,,July,2019.0,,5.0,,,,,,,,Compliant,Yes,1.0,,https://github.com/howbani/FRCA,,eaf2983b-9232-4cee-af8a-830b63a15fc8,0,0,1
69599,10006840,The University of Birmingham,B,11,Computer Science and Informatics,,,,D,Freeze after writing quasi-deterministic parallel programming with LVars,,,ACM SIGPLAN Notices,49,1,257,,,1523-2867,10.1145/2535838.2535842,,January,2014.0,,3.0,,,,,,,,Out of scope for open access requirements,Yes,14.0,,,,669ecde7-359b-46f0-b2b6-9100c9a1286c,0,0,1
69600,10007788,University of Cambridge,B,11,Computer Science and Informatics,,,,E,Freeze after writing: Quasi-deterministic parallel programming with LVars,,,Conference Record of the Annual ACM Symposium on Principles of Programming Languages,,,257,,,0730-8566,10.1145/2535838.2535842,,January,2014.0,,3.0,,,,,,,,Out of scope for open access requirements,Yes,14.0,,,,d9272f5d-d4b7-49b6-a59b-295b7bf9561f,0,0,1
69613,10007774,University of Oxford,B,11,Computer Science and Informatics,,,,D,Frege systems for quantified Boolean logic,,,Journal of the ACM,67,2,1,9,,0004-5411,10.1145/3381881,,April,2020.0,,3.0,,,,,,,,Compliant,Yes,1.0,,,,53167390-10a1-46dd-aa1b-3aad51a8257a,0,0,1
69620,10007151,University of Lincoln,B,11,Computer Science and Informatics,,,,D,FreMEn: Frequency map enhancement for long-term mobile robot autonomy in changing environments,,,IEEE Transactions on Robotics,33,4,964,,,1552-3098,10.1109/TRO.2017.2665664,,March,2017.0,http://doi.org/10.1109/TRO.2017.2665664,3.0,,,,,,,,Compliant,Yes,28.0,,,,8695dbed-7f87-411c-bdb7-ccbec7360910,0,0,0
69664,10003678,Kingston University,B,11,Computer Science and Informatics,,,,D,Frequency domain subpixel registration using HOG phase correlation,,,Computer Vision and Image Understanding,155,,70,,,1077-3142,10.1016/j.cviu.2016.10.019,,,2017.0,,,,,,,,,,Compliant,Yes,5.0,,,,e52f13e8-d8d1-4e23-82d8-15db6cc20ec5,0,0,1
69695,10007164,"University of the West of England, Bristol",B,11,Computer Science and Informatics,,,,D,Frequent itemset mining in big data with effective single scan algorithms,,,IEEE Access,6,,68013,,,2169-3536,10.1109/ACCESS.2018.2880275,,November,2018.0,https://doi.org/10.1109/ACCESS.2018.2880275,3.0,,,,,,,,Deposit exception,Yes,11.0,,,,69482f4f-7122-40da-8fa8-a1ab3dbd707d,0,0,1
69755,10007774,University of Oxford,B,11,Computer Science and Informatics,,,,D,Friendly Jamming on Access Points: Analysis and Real-World Measurements,,,IEEE Transactions on Wireless Communications,15,9,6189,9,,1536-1276,10.1109/TWC.2016.2581165,,June,2016.0,,4.0,,,,,,,,Compliant,Yes,10.0,,,,f4e9e13b-0c80-405b-8e88-c7921ee12094,0,0,1
69835,10007807,University of Ulster,B,11,Computer Science and Informatics,,,,D,From Activity Recognition to Intention Recognition for Assisted Living Within Smart Homes,,,IEEE Transactions on Human-Machine Systems,47,3,368,,,2168-2291,10.1109/THMS.2016.2641388,,January,2017.0,,3.0,,,,,,,C - Pervasive Computing Research Centre,Compliant,Yes,60.0,,,,c6efbf90-807d-4c89-825c-6879e196c9b4,0,0,1
69843,10003861,Leeds Beckett University,B,11,Computer Science and Informatics,,,,D,From Analyzing Operating System Vulnerabilities to Designing Multiversion Intrusion-Tolerant Architectures,,,IEEE Transactions on Reliability,69,1,22,,,1558-1721,10.1109/tr.2019.2897248,,,2019.0,,,,,,,,,,Compliant,Yes,0.0,,,,830e086f-72a4-4d4f-89a2-97c213d47198,0,0,0
69886,10007158,University of Southampton,B,11,Computer Science and Informatics,,,,D,"From branching to linear time, coalgebraically",,,Fundamenta Informaticae,150,3-4,379,,,1875-8681,10.3233/FI-2017-1474,,March,2017.0,,0.0,,,,,,,,Out of scope for open access requirements,Yes,1.0,,,,acc71d16-7b24-4845-9b15-dffb31c44fa2,0,0,1
69913,10007158,University of Southampton,B,11,Computer Science and Informatics,,,,D,From clothing to identity; manual and automatic soft biometrics,,,IEEE Transactions on Information Forensics and Security,11,10,2377,7498567,,1556-6013,10.1109/TIFS.2016.2584001,,June,2016.0,,1.0,,,,,,,,Compliant,Yes,10.0,,,,b88f8bfc-15de-4626-bc0e-897d85b90a6d,0,0,1
69922,10003270,"Imperial College of Science, Technology and Medicine",B,11,Computer Science and Informatics,,,,E,From communicating machines to graphical choreographies,,,ACM Sigplan Notices,50,1,221,,,1523-2867,10.1145/2676726.2676964,,January,2015.0,,2.0,,,,,,,,Out of scope for open access requirements,Yes,47.0,,10.1145/2775051.2676964,,ba264a46-a8dd-42dc-9035-bc4c44f09ba9,0,0,1
69923,10007796,The University of Leicester,B,11,Computer Science and Informatics,,,,E,From Communicating Machines to Graphical Choreographies,,,POPL '15: Proceedings of the 42nd Annual ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages,50,1,221,,,0362-1340,10.1145/2676726.2676964,,January,2015.0,,2.0,,,,,,,,Out of scope for open access requirements,Yes,47.0,,https://doi.org/10.1145/2775051.2676964,,4ab41781-94c6-4bc8-acfd-cd0fde1a75e8,0,0,1
69924,10007150,The University of Kent,B,11,Computer Science and Informatics,,,,E,From Communicating Machines to Graphical Choreographies,,,Proceedings of the 42nd Annual ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages - POPL '15,50,1,221,,,0362-1340,10.1145/2676726.2676964,,January,2015.0,https://kar.kent.ac.uk/62255/,2.0,,,,,,,,Out of scope for open access requirements,Yes,47.0,,,,2638075f-6313-44df-b0e5-f0f8ffcdfb7f,0,0,1
69933,10007775,Queen Mary University of London,B,11,Computer Science and Informatics,,,,D,From complex questionnaire and interviewing data to intelligent Bayesian network models for medical decision support,,,Artificial Intelligence in Medicine,67,,75,,,0933-3657,10.1016/j.artmed.2016.01.002,,February,2016.0,,3.0,,,,,,,,Out of scope for open access requirements,Yes,61.0,,,,8228fb66-68d4-4480-824a-710ef320bf58,0,0,1
69935,10001883,De Montfort University,B,11,Computer Science and Informatics,,,,D,From computer ethics to responsible research and innovation in ICT: The transition of reference discourses informing ethics-related research in information systems,,Elsevier BV,Information & Management,51,6,810,,,0378-7206,10.1016/j.im.2014.01.001,,February,2014.0,,3.0,,,,,,,,Out of scope for open access requirements,Yes,42.0,,,,0b3513a8-024f-489b-a16a-cf83b954a896,0,0,1
